target,date,independent
"A Bre's Computers Inc",1987-10-01,true
"A Bre's Computers Inc",1987-11-15,false
"A Bre's Computers Inc",1987-12-08,true
"A Bre's Computers Inc",1987-12-09,false
"A Bre's Computers Inc",1987-12-19,false
"A J's Burger Inc",2003-02-04,true
"A Lea's Grapes Inc",2009-02-02,true
"A Lea's Grapes Inc",2009-03-18,false
"A Lea's Grapes Inc",2009-04-16,true
"A'Layjah's Grapes Inc",1994-02-17,true
"A'Shane's Chocolate Inc",1994-11-19,true
"A'Shane's Chocolate Inc",1994-12-23,false
"A'Shane's Chocolate Inc",1994-12-24,false
"A'Shane's Chocolate Inc",1994-12-28,false
"A'Shane's Chocolate Inc",1994-12-28,false
"A'Shane's Chocolate Inc",1994-12-29,false
"A'Shane's Chocolate Inc",1995-01-06,false
"A'Shane's Chocolate Inc",1995-01-06,false
"A'Shane's Chocolate Inc",1995-01-14,false
"A'Shane's Chocolate Inc",1995-02-28,true
"A'Shane's Chocolate Inc",1995-03-08,false
"A'Shane's Chocolate Inc",1995-03-15,false
"A'Shane's Chocolate Inc",1995-03-17,false
"A'Shane's Chocolate Inc",1995-03-19,false
"Aahmek's Reptiles Inc",1991-12-26,true
"Aahmek's Reptiles Inc",1992-02-24,false
"Aahmek's Reptiles Inc",1992-03-24,true
"Aahmek's Reptiles Inc",1992-04-03,false
"Aahmek's Reptiles Inc",1992-04-17,false
"Aaliyah's Melons Inc",1992-07-20,true
"Aaliyah's Melons Inc",1992-07-20,false
"Aaliyah's Melons Inc",1992-07-21,false
"Aaliyah's Melons Inc",1992-07-24,false
"Aaliyah's Melons Inc",1992-07-26,false
"Aaliyah's Melons Inc",1992-07-26,false
"Aaliyah's Melons Inc",1992-07-26,false
"Aaliyah's Melons Inc",1992-07-27,false
"Aaliyah's Melons Inc",1992-07-30,false
"Aaliyah's Melons Inc",1992-07-30,false
"Aaliyah's Melons Inc",1992-07-30,false
"Aaliyah's Melons Inc",1992-08-05,false
"Aaliyah's Melons Inc",1992-08-07,false
"Aaliyah's Melons Inc",1992-08-08,false
"Aaliyah's Melons Inc",1992-08-11,false
"Aaliyah's Melons Inc",1992-08-17,false
"Aaliyah's Melons Inc",1992-08-21,false
"Aaliyah's Melons Inc",1992-08-26,false
"Aaliyah's Melons Inc",1992-09-02,false
"Aaliyah's Melons Inc",1992-09-03,false
"Aaliyah's Melons Inc",1992-09-09,false
"Aaliyah's Melons Inc",1992-09-09,false
"Aaliyah's Melons Inc",1992-09-10,false
"Aaliyah's Melons Inc",1992-09-14,false
"Aaliyah's Melons Inc",1992-09-15,false
"Aaliyah's Melons Inc",1992-09-15,false
"Aaliyah's Melons Inc",1992-09-27,true
"Aaliyah's Melons Inc",1992-09-27,false
"Aaliyah's Melons Inc",1992-09-30,false
"Aaliyah's Melons Inc",1992-10-01,false
"Aaliyah's Melons Inc",1992-10-05,false
"Aaliyah's Melons Inc",1992-10-11,false
"Aaliyah's Melons Inc",1992-10-16,false
"Aaliyah's Melons Inc",1992-10-21,false
"Aaliyah's Melons Inc",1992-10-28,false
"Aaliyah's Melons Inc",1992-11-01,false
"Aaliyah's Melons Inc",1992-11-02,false
"Aaliyah's Melons Inc",1992-11-03,false
"Aaliyah's Melons Inc",1992-11-05,false
"Aaliyah's Melons Inc",1992-11-05,false
"Aaliyah's Melons Inc",1992-11-06,false
"Aaliyah's Melons Inc",1992-11-08,false
"Aaliyah's Melons Inc",1992-11-10,false
"Aaliyah's Melons Inc",1992-11-13,false
"Aaliyah's Melons Inc",1992-11-14,false
"Aaliyah's Melons Inc",1992-11-16,false
"Aalon's Juice Inc",2006-03-13,true
"Aalon's Juice Inc",2006-04-16,false
"Aalyah's Reptiles Inc",1991-07-13,true
"Aalyah's Reptiles Inc",1991-07-20,false
"Aalyah's Reptiles Inc",1991-07-21,false
"Aalyah's Reptiles Inc",1991-07-29,false
"Aalyah's Reptiles Inc",1991-08-15,false
"Aalyah's Reptiles Inc",1991-08-22,false
"Aalyah's Reptiles Inc",1991-08-24,false
"Aalyah's Reptiles Inc",1991-09-30,true
"Aalyah's Reptiles Inc",1991-10-01,false
"Aalyah's Reptiles Inc",1991-10-25,false
"Aalyah's Reptiles Inc",1991-11-01,false
"Aalyah's Reptiles Inc",1991-11-02,false
"Aaqil's Chocolate Inc",2001-10-07,true
"Aaqil's Chocolate Inc",2001-12-11,true
"Aaqil's Chocolate Inc",2001-12-17,false
"Aaqil's Chocolate Inc",2002-01-11,false
